tourney_id,surface,winner_id,loser_id
2020-520,Clay,100644,110602
2020-M-DC-2020-QLS-M-AUT-URU-01,Hard,110602,104655
2020-M-DC-2020-QLS-M-GER-BLR-01,Hard,136440,209867
2020-580,Hard,104527,106421
2020-9158,Clay,106426,104655
2020-0424,Hard,106378,104312
2020-560,Hard,126774,105077
2020-560,Hard,106233,111576
2020-520,Clay,105807,105138
2020-0352,Hard,106421,105683
2020-520,Clay,127157,103852
2020-580,Hard,100644,104269
2020-0496,Hard,105227,125802
2020-560,Hard,106426,200265
2020-M-DC-2020-QLS-M-USA-UZB-01,Hard,126205,104797
2020-520,Clay,106233,105227
2020-520,Clay,127157,126610
2020-580,Hard,105208,105379
2020-580,Hard,106421,124079
2020-0891,Hard,104678,111576
2020-0407,Hard,200000,105526
2020-6932,Clay,105226,104655
2020-560,Hard,104925,105526
2020-520,Clay,105613,106432
2020-M-DC-2020-QLS-M-BEL-HUN-01,Clay,105916,106293
2020-0414,Clay,106426,122330
2020-580,Hard,105583,106378
2020-580,Hard,104745,105643
2020-0499,Hard,124187,111456
2020-0499,Hard,124187,105208
2020-0319,Clay,200175,105643
2020-520,Clay,105916,106329
2020-8888,Hard,111815,106220
2020-0451,Hard,126094,200175
2020-580,Hard,105550,105441
2020-560,Hard,105807,105575
2020-M-DC-2020-QLS-M-CZE-SVK-01,Clay,106210,105413
2020-M-DC-2020-QLS-M-AUS-BRA-01,Hard,111442,106329
2020-0568,Hard,106234,105815
2020-0414,Clay,126774,105583
2020-580,Hard,126205,104919
2020-9158,Clay,124079,105943
2020-0506,Clay,134770,105155
2020-0499,Hard,126207,126205
2020-0499,Hard,106415,105357
2020-6932,Clay,104665,104269
2020-8996,Clay,106329,106148
2020-560,Hard,105916,105777
2020-520,Clay,126094,104731
2020-0451,Hard,144895,104527
2020-M056,Hard,104871,104468
2020-9158,Clay,105077,105487
2020-0424,Hard,106378,200175
2020-560,Hard,133430,126203
2020-520,Clay,104925,105575
2020-7434,Hard,105577,105011
2020-M-DC-2020-WG1-PO-VEN-NZL-01,Hard,105334,208055
2020-0375,Hard,105613,200325
2020-0352,Hard,104745,105807
2020-520,Clay,105526,126207
2020-580,Hard,104792,105208
2020-0375,Hard,122330,105967
2020-0499,Hard,126207,105877
2020-0499,Hard,105649,106071
2020-6932,Clay,144719,106099
2020-0414,Clay,126094,105138
2020-7434,Hard,144817,105932
2020-M-DC-2020-QLS-M-AUS-BRA-01,Hard,105357,106329
2020-M-DC-2020-WG2-PO-INA-KEN-01,Hard,105464,207401
2020-M-DC-2020-WG2-PO-GUA-TUN-01,Hard,104291,108739
2020-520,Clay,105777,106148
2020-7485,Hard,106218,208134
2020-8888,Hard,200390,110602
2020-9158,Clay,106228,106065
2020-9158,Clay,105226,132283
2020-0891,Hard,106078,105902
2020-0499,Hard,124187,126952
2020-6932,Clay,106329,105550
2020-560,Hard,105676,105936
2020-0319,Clay,105870,109739
2020-M-DC-2020-QLS-M-SWE-CHI-01,Hard,126214,111200
2020-M-DC-2020-WG2-PO-PHI-GRE-01,Clay,126774,202165
2020-M009,Clay,104925,105936
2020-0414,Clay,134770,104926
2020-0337,Hard,104731,105807
2020-9406,Hard,105357,104269
2020-9410,Hard,105173,200325
2020-0451,Hard,111513,132283
2020-0424,Hard,200005,106218
2020-0407,Hard,104468,105062
2020-M004,Hard,126203,104545
2020-520,Clay,126774,105379
2020-M024,Hard,126610,200325
2020-9408,Clay,106148,105948
